dataset,method,num_markers,n_runs,celltype_knn_accuracy_mean,celltype_knn_accuracy_std,time_knn_pearson_mean,time_knn_pearson_std,spatial_pearson_mean,spatial_pearson_std,knn_overlap_mean_avg_mean,knn_overlap_mean_avg_std
elegans_tf,persist_sup,16,5,0.5165060265384737,0.02006849021817151,0.7853992417596813,0.029352999189014326,0.5264505803585052,0.06794628523433763,0.3748533333333333,0.006288755838796714
elegans_tf,persist_unsup,16,5,0.4637329731995826,0.02486939756774853,0.8190612452296492,0.030074366039940615,0.601012670993805,0.01739935297289827,0.4182026666666666,0.014755705751410967
elegans_tf,scGIST,16,5,0.33478148656821816,0.0285473542223797,0.7864385935355909,0.042416130697096564,0.5139613807201385,0.027172283097802105,0.3726653333333333,0.01812394680464987
elegans_tf,scGeneFit,16,5,0.4452225771783963,0.02632999574144699,0.8408721759819937,0.012223281306742113,0.5481087923049927,0.046889006451497406,0.422056,0.03187055340662355
elegans_tf,spapros,16,5,0.237015237257322,0.005057787052686398,0.7207764494742899,0.01485864141994275,0.42226421236991885,0.012020836751256701,0.19654466666666665,0.00483550330598814
elegans_tf,SMITH_multi_panel_trial0013_validated,32,5,0.596984978884406,0.010731905051219978,0.8703237919982036,0.013918601557609524,,,0.494262,0.004674132480412197
elegans_tf,activeSVM,32,5,0.5659649139934209,0.010732178646462386,0.8815383785220735,0.015279026531692259,0.6356158375740051,0.03993226368663585,0.526416,0.008613736252185913
elegans_tf,persist_sup,32,5,0.5705549702753452,0.009416748928126146,0.840803531028629,0.030148749600642122,0.608587121963501,0.05510291337747672,0.4725946666666666,0.01296111654998217
elegans_tf,persist_unsup,32,5,0.5267089642692498,0.019453412581445093,0.8710401312678169,0.02035116826250263,0.6528161764144897,0.009364630524653476,0.527676,0.01154309326923349
elegans_tf,scGIST,32,5,0.4412026381217232,0.04467560148943899,0.8518893538185978,0.029747719604946064,0.6002674221992492,0.017886148197022503,0.4862073333333333,0.014520191956184553
elegans_tf,scGeneFit,32,5,0.5031758062454755,0.020216785159808886,0.8693356820869316,0.020715131330504254,0.6226876735687256,0.03784693434247099,0.5372253333333333,0.023056184949909776
elegans_tf,spapros,32,5,0.3224770248288736,0.010941380610958399,0.7621353906521342,0.020943014447574262,0.5843274831771851,0.017846430219002944,0.33196,0.007976735269241112
elegans_tf,SMITH_multi_panel_trial0013_validated,64,5,0.6131876020850079,0.015410208277015088,0.9046520950179845,0.02425015266926698,,,0.595458,0.010470202587448893
elegans_tf,SMITH_overlap_guarded_postfix_validated,64,5,0.5935662324338116,0.013387919903631829,0.8888254807087067,0.030932764370668775,0.7147501230239868,0.013574017954192653,0.6053993333333334,0.00805288816374457
elegans_tf,SMITH_overlap_guarded_v1_live_validated,64,5,0.5849837659684373,0.01466226232972282,0.8841051431476403,0.032673901005465945,0.7304656624794006,0.015312693439594406,0.6028726666666666,0.005325557560794297
elegans_tf,activeSVM,64,5,0.5689467639510839,0.02039591547877267,0.9025841590672379,0.025774536631369877,0.7094305038452149,0.012760216006033238,0.6449253333333334,0.006213387249408459
elegans_tf,persist_sup,64,5,0.5963746760406395,0.023744947040552133,0.8734250621379708,0.025290574734123532,0.6797896742820739,0.026945369374814097,0.5534173333333333,0.005678090152311544
elegans_tf,persist_unsup,64,5,0.5529868866499157,0.026818480036336783,0.9002744883309649,0.0234119705352421,0.7163678169250488,0.007089109967689754,0.6279226666666666,0.003972100899468133
elegans_tf,scGIST,64,5,0.4818912783310851,0.01661927581294677,0.8798166573614516,0.023692063971933207,0.688296091556549,0.03713764655633694,0.5923013333333333,0.018799723638630694
elegans_tf,scGeneFit,64,5,0.5231646394681471,0.025655388401830827,0.8908720226974781,0.032718477019421606,0.7110584378242493,0.02615476988725691,0.627,0.04254099388955444
